Pattern	Concise definition	Typical observable behaviors	Psychological function + short-term benefits	Long-term costs/harms	Typical origins/etiology (developmental, attachment, cognitive)	Prevalence / population notes	Strength of evidence + key references	Evidence-based interventions (brief; support level)
Avoidance coping / experiential avoidance (incl. procrastination)	Reducing distress by escaping triggers (situations, sensations, tasks, emotions).	Procrastination; canceling/withdrawing; “numbing” via screens/substances; conflict avoidance.	Fn: immediate anxiety relief, preserves perceived safety/control. ST: lowers arousal quickly.	Reinforces fear; reduced mastery; narrowed life; depression-maintaining inactivity.	Learning history of negative reinforcement; threat sensitization; low tolerance for affect; anxiety/depression cycles.	Procrastination is extremely common in students (estimates 80–95%); adult chronic procrastination often ~20% in survey work.	Strong (avoidance in anxiety maintenance; transdiagnostic models).	CBT exposure/behavioral experiments (strong for anxiety). ACT (psychological flexibility; strong/moderate overall). Behavioral activation for avoidance/inactivity (strong for depression).
Safety behaviors & compulsive checking / reassurance seeking	Behaviors used to prevent feared outcomes or reduce doubt (often anxiety/OCD).	Checking, “just in case” rituals; reassurance questions; avoidance plus “protective” props; scanning body/symptoms.	Fn: reduces uncertainty, transfers responsibility, prevents feared catastrophe. ST: rapid relief.	Maintains threat beliefs; increases dependence; relationship strain; can generalize into broader control rituals.	Intolerance of uncertainty; inflated responsibility; learning via relief; anxious attachment in interpersonal reassurance.	Common across anxiety/OCD; exact prevalence varies by measure; interpersonal reassurance seeking noted across OCD/depression/anxiety.	Moderate–strong (conceptual and empirical support; meta-analytic debate on whether to fully remove safety behaviors during exposure).	Exposure with response prevention / exposure-based CBT (strong). Inhibitory-learning-informed exposure with strategic fading of safety behaviors (moderate; nuanced).
Rumination (brooding)	Repetitive dwelling on negative mood, causes, meaning, or self-evaluation.	“Replay” conversations; circular analysis; difficulty disengaging; sleep disruption.	Fn: attempts to solve/understand; signal importance; avoids action/uncertainty. ST: sense of control/meaning.	Predicts/maintains depression and anxiety; impairs sleep and problem-solving; social withdrawal.	Learned cognitive habit; self-criticism; trauma shame; metacognitive beliefs (“I must think this through”).	Transdiagnostic and common in both clinical and nonclinical samples.	Strong (meta-analytic links to anxiety/depression; RNT as transdiagnostic construct).	CBT targeting RNT (moderate–strong). MBCT for relapse prevention (strong for recurrent depression). Rumination-focused CBT (emerging–moderate).
Worry (future-focused repetitive negative thinking)	Persistent verbal thinking about possible future threats/uncertainty.	Excessive “what if” planning; reassurance seeking; over-preparing; sleep-onset delay.	Fn: threat simulation; prepares/avoids regret. ST: sense of preparedness.	Maintains anxiety; perpetuates intolerance of uncertainty; reduces present-moment engagement.	Trait vulnerability (neuroticism), IU beliefs, learned safety strategy.	Common across anxiety and mixed emotional disorder samples.	Strong (RNT framework; transdiagnostic evidence).	CBT for worry/RNT (strong/moderate; transdiagnostic meta). ACT for worry via acceptance/defusion (moderate–strong).
Catastrophizing / threat amplification	Overestimating probability/cost of negative outcomes; interpreting sensations/events as dangerous.	Worst-case predictions; urgency; avoidance; amplified pain-related distress.	Fn: motivates protective action; reduces ambiguity. ST: “at least I’m prepared.”	Anxiety escalation; functional impairment; chronic pain disability links in pain literature.	Learned from adverse events; modeling; cognitive schemas; hyperarousal.	Prominent in pain and anxiety samples; varies widely by context and measurement.	Moderate–strong (pain catastrophizing evidence strong; broader cognitive bias predictive effects smaller but present).	CBT cognitive restructuring + exposure/behavioral experiments (strong for anxiety; moderate for pain contexts). Acceptance-based approaches in pain (moderate).
Dichotomous thinking / all-or-nothing	Rigid “either/or” evaluation (success/failure; good/bad).	“If not perfect, worthless”; relapse -> “blown it”; extreme standards; moralized self-judgment.	Fn: reduces ambiguity; simplifies decisions; protects identity via certainty. ST: clarity/decisiveness.	Emotional volatility; binge-restrict cycles in eating/behavior change contexts; relationship polarization.	Trait cognitive style; perfectionism; shame conditioning; social evaluation sensitivity.	Scoping work suggests broad relevance; direct prevalence estimates are uncommon.	Emerging–moderate (construct widely used; measurement and causal evidence uneven).	CBT cognitive restructuring; behavioral experiments; graded exposure to “good enough” (moderate).
Interpretation & attribution biases (mind-reading/projection)	Systematic bias to interpret ambiguity as threat/rejection or to infer others’ negative intent.	“They think I’m incompetent”; hostile attribution; selective recall; post-event processing.	Fn: early warning; social threat detection. ST: feels protective/realistic.	Social avoidance, conflict escalation, loneliness; self-fulfilling prophecies via defensive behavior.	Attachment insecurity; trauma; learned social threat expectancies; cognitive schemas.	Present across anxiety/depression; prospective meta effects are small but reliable.	Moderate (meta-analytic support for interpretation bias; smaller longitudinal prediction).	CBT cognitive restructuring; social experiments; some cognitive bias modification variants (moderate).
Self-criticism / punitive inner stance	Persistent harsh self-evaluation and self-attacking standards.	“Inner critic” self-talk; self-punishment; discounting success; high shame reactivity.	Fn: error prevention, social rank protection; motivates effort via threat. ST: temporary drive/avoidance of rejection.	Predicts poorer psychotherapy outcomes; linked to multiple symptom domains and interpersonal problems.	Developmental criticism/conditional acceptance; insecure attachment; perfectionism schemas.	Particularly salient in eating disorders and clinical samples; cross-diagnostic associations documented.	Strong (systematic evidence on outcome prediction; change mechanisms).	Compassion-focused therapy reduces self-criticism (moderate; meta suggests benefit but quality limits). Self-compassion-related interventions reduce self-criticism (moderate; meta).
Shame / self-blame (incl. trauma-related shame)	Global negative self-evaluation (“I am bad”) often tied to moral/social threat.	Concealment; withdrawal; anger/defensiveness; compulsive repair or avoidance.	Fn: signals social danger; attempts to prevent rejection; promotes appeasement. ST: reduces exposure risk.	Strong links to broad psychopathology and depression; inhibits disclosure and help-seeking.	Trauma, chronic criticism, stigmatization; cultural norms around honor/conformity.	Trauma-related shame shows moderate associations with psychopathology in meta-analysis.	Strong for association; intervention evidence moderate.	Trauma-focused CBT and related therapies reduce PTSD symptoms (strong). CFT targets shame/self-criticism (emerging–moderate).
Perfectionism (clinical perfectionism / concern over mistakes)	Inflexible high standards with self-worth contingent on achievement.	Overpreparing; checking; avoidance/procrastination; intolerance of “good enough.”	Fn: reduces failure risk; secures approval/status. ST: perceived competence/control.	Burnout, anxiety, depression; treatment resistance; relationship strain.	Conditional acceptance; performance cultures; cognitive rigidity; self-criticism.	Transdiagnostic risk and maintenance factor across disorders in meta-analytic work.	Strong (transdiagnostic links + intervention meta-analyses).	CBT for perfectionism reduces perfectionism and symptoms (moderate–strong). Self-compassion interventions may reduce perfectionistic self-attack (emerging–moderate).
Impostor phenomenon	Persistent belief one’s success is undeserved; fear of being exposed as a fraud.	Discounting achievements; overworking; avoidance of opportunities; reassurance seeking.	Fn: protects against social “status loss”; pushes achievement striving. ST: vigilance, preparation.	Burnout, anxiety/depression comorbidity, reduced satisfaction; often self-perpetuating.	Perfectionism + contingent self-worth; stereotype threat/stigma contexts; critical environments.	Prevalence estimates range widely (9–82%) depending on instrument/cutoffs; higher in some minority groups per review.	Moderate (prevalence review strong; treatment trials limited).	CBT skills for cognitive distortions; self-compassion training (emerging–moderate). Coaching: values-based goal setting + behavioral experiments (evidence extrapolated from CBT/behavior change).
External validation dependence / contingent self-worth	Self-esteem fluctuates based on approval, status, or performance domains.	People-pleasing; compulsive comparison; attention/validation seeking; sensitivity to feedback.	Fn: maintains belonging/status; reduces rejection threat. ST: momentary uplift via approval.	Instability; vulnerability to depression/anxiety; relationship strain from self-validation goals.	Conditional acceptance; attachment insecurity; sociometer dynamics; cultural/status pressures.	Empirical links across contexts; formal prevalence estimates uncommon.	Moderate (strong theory base; mixed causal evidence).	Self-compassion interventions reduce self-criticism and may buffer contingency (moderate). Values-based ACT approaches reduce fusion with evaluation (moderate–strong).
Control strategies / intolerance of uncertainty	Attempts to prevent distress by increasing certainty/control.	Overplanning; checking; micromanaging; reassurance; avoidance of ambiguity.	Fn: reduces uncertainty distress. ST: immediate calm/order.	Maintains anxiety; rigidity; interpersonal conflict; reduced adaptability.	Temperament (harm avoidance), learning history, family modeling, trauma exposure.	Transdiagnostic construct across anxiety/depression; effect sizes vary.	Strong (meta-analytic IU evidence; transdiagnostic framing).	CBT targeting IU (worry exposure, uncertainty training) (moderate–strong). ACT acceptance/defusion (moderate–strong).
Learned helplessness / hopelessness / low self-efficacy	Expectation that actions won’t change outcomes; reduced effort and agency.	“Why try?”; passivity; resignation; missed opportunities; depressive shutdown.	Fn: conserves energy; avoids repeated failure/negative affect. ST: relief from striving.	Depression maintenance; increased suicidality risk when hopelessness high; impaired recovery.	Uncontrollable stress exposure; trauma; invalidating environments; attributional style (hopelessness theory).	Hopelessness is a longitudinal risk factor for suicidal outcomes in meta-analysis (clinical utility modest but consistent).	Strong theoretical basis; moderate–strong empirical (esp. hopelessness).	Behavioral activation (increase reinforcement/agency) (strong). CBT for attributional style/problem-solving (moderate).
Emotion suppression / inhibition	Down-regulating by pushing down emotional expression/experience.	“I’m fine”; reduced facial affect; difficulty sharing; delayed reactions; somatic tension.	Fn: avoids conflict/shame; maintains social acceptability. ST: prevents escalation short-term.	Associated with poorer affective outcomes on average; cultural moderation matters.	Socialization; family rules; threat of rejection; trauma contexts.	Cultural variability is well-documented in emotion regulation meta-analyses.	Moderate (associations robust; causality and context dependence).	Skills training in emotion identification/communication; CBT/DBT emotion regulation (moderate–strong). Couple interventions focusing on safer expression (moderate).
Emotion dysregulation / impulsive coping (“undercontrol”)	Difficulty modulating emotion intensity; rapid action to escape affect.	Explosive conflict; self-harm urges; substance coping; risky behaviors; interpersonal instability.	Fn: immediate affect relief; regains control quickly. ST: downshifts unbearable states.	Chronic instability; relationship rupture; self-harm risk; service overuse.	Invalidating/traumatic environments; temperamental reactivity; attachment disruption.	Central in BPD framing; varies across diagnoses.	Strong (DBT evidence for suicidal/self-harm outcomes; guideline recognition of emotion regulation impairment).	DBT reduces self-directed violence (strong for suicidal/self-harm). Schema therapy effective for personality disorders (moderate–strong).
Hyperarousal / threat sensitization	Persistent physiological threat activation and vigilance.	Startle, scanning, irritability; sleep disturbance; avoidance; “always on edge.”	Fn: danger detection; prevents re-harm. ST: readiness.	Exhaustion; relationship conflict; avoidance increases; can sustain PTSD/anxiety loops.	Trauma exposure; chronic stress; conditioning; insecure attachment.	Particularly relevant in trauma-related conditions (PTSD frameworks).	Strong (trauma clinical frameworks; guideline-supported treatments).	Trauma-focused CBT and related trauma therapies (strong). Skills for arousal regulation (breathing, grounding) as adjuncts (moderate).
Freeze / tonic immobility / dissociation (“shutdown”)	Defensive immobilization or detachment during/after threat.	“Blanking out”; time loss; numbness; immobility; derealization; shutdown during conflict.	Fn: last-resort survival response; reduces pain/awareness. ST: protects during overwhelming threat.	PTSD severity/prognosis impacts; functional impairment; difficulties integrating trauma memory; relational disengagement.	Trauma exposure, especially interpersonal; prior dissociation; high perceived inescapability.	Tonic immobility predicts poorer PTSD treatment response in some studies; dissociation plays transdiagnostic mediator roles in meta-analysis.	Moderate–strong (for associations; mechanisms complex).	Trauma-focused therapies + stabilization/grounding; phased treatment when dissociation severe (moderate–strong; guideline-aligned).
Boom–bust / overactivity–underactivity cycling	Alternating overexertion and collapse/avoidance (often pain/fatigue contexts).	“Good day” overdoing -> flare -> days of rest; inconsistent routines; guilt-driven bursts.	Fn: preserves identity/role; captures opportunity on “good days.” ST: short-term achievement/normalcy.	Worsened fatigue/pain disability; mood impact; reinforces fear-avoidance or endurance cycles.	Reinforcement learning around symptoms; perfectionism; beliefs about self-worth and productivity.	Documented in chronic pain/fatigue populations; pacing evidence varies by condition and implementation.	Moderate (systematic review/meta in chronic pain; intervention evidence mixed).	Activity pacing with graded progression can reduce fatigue/distress in CFS (moderate). CBT/rehabilitation pacing frameworks (emerging).
Planning fallacy / fantasy planning	Underestimating time/costs; focusing on “inside view” best-case plans.	Unrealistic timelines; repeated “this time will be different”; deadline crises; overcommitment.	Fn: maintains optimism/self-image; reduces anticipatory anxiety. ST: motivation boost.	Chronic lateness, stress, reputational harm; intensifies procrastination.	Cognitive bias toward inside view; limited use of base rates; perfectionism.	Very common; not typically measured as prevalence but as bias magnitude in experiments.	Strong (classic experimental evidence; replicated lines).	“Outside view” base-rate planning; implementation intentions (moderate–strong). Mental contrasting with implementation intentions (MCII) improves goal attainment (moderate).
Intention–behavior gap / weak implementation	Having goals but failing to translate into consistent action.	Repeated “starting Monday”; reliance on motivation; inconsistent habits; avoidance when mood low.	Fn: preserves aspirational identity without immediate cost. ST: hope/relief.	Stagnation; self-trust erosion; shame cycles; opportunity costs.	Executive load, low self-efficacy, value conflicts, stress.	Widespread; measured in behavior change research as consistent phenomenon.	Strong (behavior change meta-analytic base).	Implementation intentions meta support (strong). Behavioral activation principles for mood-dependent inertia (strong).
Identity rigidity / fixed mindset / self-concept instability	Treating traits/emotions as unchangeable (“this is just who I am”).	Avoids challenge; strong defensiveness; “label locking”; shame after setbacks.	Fn: preserves coherence; reduces uncertainty. ST: protects from failure feelings.	Higher distress; reduced learning and help-seeking; persistence of symptoms.	Developmental beliefs about malleability; family/school messages; trauma.	Meta-analysis links growth mindsets with lower distress; effects vary by context and intervention type.	Moderate (associations solid; intervention impacts can be small and context-dependent).	Growth mindset interventions (emerging–moderate). CBT/ACT to shift fusion with identity narratives (moderate).
Re-enactment / repetition compulsion / revictimization pathways	Repeating familiar relational dynamics (often harmful) due to learned schemas and attachment.	Choosing similar partners; tolerating mistreatment; reenacting caregiver roles; self-sabotaging closeness.	Fn: familiarity; attempts to “master” old pain; maintains coherent self-narrative. ST: predictability.	Elevated risk of revictimization; chronic relationship distress; trauma reinforcement.	Childhood maltreatment; insecure attachment; maladaptive schemas and emotion dysregulation as mediators.	CM increases adult victimization risk; mediator models under active study.	Moderate (strong correlational/systematic review base; causal pathways complex).	Trauma-focused therapies; schema therapy for entrenched patterns (moderate–strong for personality pathology).
Pursue–withdraw / anxious–avoidant / demand–withdraw cycle	One partner escalates for closeness; the other distances for safety/autonomy.	Criticism or pleading -> withdrawal/stonewalling; protest behaviors; escalating bids.	Fn: pursuer seeks reassurance/connection; withdrawer seeks arousal reduction. ST: temporary stabilization.	Lower satisfaction; entrenched insecurity; reduced repair attempts; escalation into negative reciprocity.	Attachment anxiety/avoidance; emotion regulation differences; family-of-origin conflict templates.	Demand-withdraw predicts lower relationship functioning in meta-analysis; attachment insecurity correlates with lower satisfaction.	Strong (robust relationship research + meta-analyses).	Couple therapy/systemic interventions have evidence across adult mental health contexts (moderate). Attachment-oriented couple approaches widely used; evidence varies by model.
Negative reciprocity / escalation (incl. criticism–defensiveness patterns)	Negative acts invite negative counteracts, creating an upward spiral.	Criticism -> defensiveness -> contempt -> shutdown; tit-for-tat conflict; repair failure.	Fn: self-protection, signaling boundaries. ST: venting, regaining power.	Relationship distress; aggression risk; chronic insecurity; reduced positive interaction ratio.	Stress load, poor repair modeling, attachment threat, emotion dysregulation.	Common in distressed couples; exact prevalence hard to estimate due to measurement differences.	Moderate (strong observational base; RCT evidence depends on treatment model).	Skills-based couple therapy and systemic interventions (moderate). Emotion regulation skills (DBT-informed) for conflict escalation (moderate).
Self-silencing / people-pleasing / boundary diffusion	Inhibiting needs/feelings to maintain attachment or avoid conflict.	Agreeing while resentful; indirect communication; “walking on eggshells”; over-accommodation.	Fn: prevents rejection/conflict. ST: reduces immediate interpersonal threat.	Medium correlation with depression in meta-analysis; relationship dissatisfaction and loss of authenticity.	Gendered/cultural role norms; criticism/invalidating families; anxious attachment.	Meta-analysis shows r≈0.39 with depression; moderators include age, sexual orientation, education, and cultural context.	Strong (for association), moderate (for causal direction).	Assertiveness/boundary skills; CBT interpersonal experiments; couple therapy when relationally maintained (moderate).
Unspoken contracts / unmet expectations / ideal-standards mismatch	Implicit “rules” for closeness/fairness that are unshared and violated.	Chronic disappointment; “you should know”; scorekeeping; passive resentment.	Fn: maintains hope for reciprocal care without vulnerability of asking. ST: avoids direct negotiation discomfort.	Stable dissatisfaction; conflict cycles; erosion of trust and goodwill.	Attachment insecurity; family norms about needs; low relational communication skills.	Studied via “ideal standards” and unmet expectations; not typically expressed as population prevalence.	Emerging–moderate (solid correlational research; less standardized as a single construct).	Explicit expectation negotiation; structured communication; couple therapy/systemic interventions (moderate).
Maladaptive support seeking: co-rumination & reassurance-driven bonding	Excessive problem-talk that increases closeness but sustains negative affect and helplessness.	Friends/partners repeatedly rehash problems; reassurance cycles; dependence on validation.	Fn: creates intimacy and certainty. ST: social soothing, belonging.	Increases depressive symptoms risk (small but reliable correlations; stress generation pathways).	Anxious attachment; limited emotion regulation repertoire; social reinforcement of complaint bonding.	Meta-analysis (66 studies; N≈27,794) finds small positive association with depressive symptoms; weaker in adolescents than undergrads/adults.	Moderate (meta-analytic support; effect sizes smaller than rumination).	Coaching/therapy: shift from co-rumination to solution-focused + values/action; interpersonal boundaries; CBT skills for reassurance reduction (emerging–moderate).
Social comparison orientation / rank monitoring	Habitual scanning of others’ status, outcomes, or traits to evaluate one’s own standing, with self-worth, motivation, and affect shifting in response to perceived relative position.	Checking metrics (likes, promotions, income, attractiveness); upward comparison that deflates mood; downward comparison for relief; compulsive profile viewing; envy/resentment spikes after exposure to high performers.	Fn: rapid self-evaluation; situational benchmarking; guides goal direction in status-relevant environments. ST: momentary motivation, relief via downward comparison, sense-making of social hierarchies.	Contingent self-worth; chronic dissatisfaction; envy and shame; risk-avoidant or overstriving behavior; burnout; impaired intrinsic motivation; depressive symptoms.	Status-salient environments; conditional approval based on performance; social media exposure; perfectionistic standards; identity fusion with achievement or appearance.	Near-universal process; intensity elevated in adolescence/young adulthood and in highly competitive or visibility-driven domains.	Moderate–Strong (robust experimental mood effects; longitudinal links to depression, self-esteem, and eating pathology).	CBT cognitive restructuring of comparison interpretations; self-compassion training (moderate–strong); values-based action and attentional retraining (ACT; moderate); reducing comparison cues / stimulus control (behavioral).
Rejection sensitivity / evaluative threat sensitivity	Heightened expectation and rapid detection of criticism, exclusion, or negative evaluation, followed by strong affective reactivity and defensive behavioral responses.	Overpreparing or avoiding evaluative situations; reassurance seeking; defensive withdrawal after mild feedback; anger or shutdown after perceived slights; mind-reading for disapproval.	Fn: anticipatory protection against social threat; attempts to prevent humiliation or exclusion. ST: temporary sense of control; threat detection feels adaptive; mobilizes performance effort.	Relationship strain; misinterpretation of neutral cues; avoidance of growth opportunities; self-fulfilling rejection cycles; social anxiety and depressive symptoms.	Histories of inconsistent or critical caregiving; peer rejection or bullying; contingent acceptance; high shame sensitivity; attachment insecurity.	Continuously distributed trait; elevated in social anxiety, borderline features, and individuals with chronic interpersonal stress.	Moderate–Strong (prospective prediction of relationship outcomes and depression; well-validated experimental paradigms).	CBT for social anxiety (strong); exposure to evaluative situations (strong); mentalization-based approaches (moderate); compassion-focused therapy for shame reactivity (moderate).
Behavioral disengagement / depressive withdrawal loop	Reduction in activity, effort, and reward-seeking in response to low mood or anticipated failure, which decreases positive reinforcement and further deepens anhedonia and passivity.	Staying in bed; canceling plans; task avoidance due to low energy or hopelessness; loss of previously reinforcing activities; narrowed routine.	Fn: energy conservation; avoidance of perceived failure or overwhelm. ST: temporary relief from effort demands; reduced exposure to stressors.	Loss of reinforcement; worsening mood; anhedonia; functional impairment; increased rumination; maintenance of depressive episodes.	Low reinforcement environments; learned helplessness; repeated failure experiences; chronic stress; fatigue and sleep disruption; negative expectancy bias.	Core maintenance process in major depression; also present in burnout and chronic stress states.	Strong (behavioral activation RCTs; reinforcement–mood longitudinal data; mediation evidence).	Behavioral activation (strong); activity scheduling with graded task assignment (strong); CBT targeting hopelessness and expectancy (strong); exercise as adjunct (moderate–strong).
